"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Feb 19 16:19:35 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1582109375237","","Business Home invoke","","Business Home invoke","Commodities Module should be displayed","Commodities Module should be displayed",""
"unknown","Wed Feb 19 16:19:35 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1582109375177","","Business Home invoke","","Business Home invoke","Whats Moving Module should be displayed","Whats Moving Module should be displayed",""
"unknown","Wed Feb 19 16:19:34 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1582109374983","","Business Home invoke","","Business Home invoke","Quote Search Module should be displayed","Quote Search Module should be displayed",""
"passed","Wed Feb 19 16:19:35 IST 2020","Wed Feb 19 16:19:35 IST 2020","22","","Business Home invoke","","Business Home invoke","""before each"" hook","""before each"" hook",""
"unknown","Wed Feb 19 16:19:35 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1582109375258","","Business Home invoke","","Business Home invoke","Bonds & Interests Module should be displayed","Bonds & Interests Module should be displayed",""
"unknown","Wed Feb 19 16:19:35 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1582109375072","","Business Home invoke","","Business Home invoke","Latest Market News Section should be displayed","Latest Market News Section should be displayed",""
"unknown","Wed Feb 19 16:18:59 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1582109339789","","Business Home invoke","","Business Home invoke","Premarket page should be launched","Premarket page should be launched",""
"unknown","Wed Feb 19 16:19:34 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1582109374236","","Business Home invoke","","Business Home invoke","Market Ribbon should be displayed","Market Ribbon should be displayed",""
"unknown","Wed Feb 19 16:19:35 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1582109375023","","Business Home invoke","","Business Home invoke","US Stock Futures Module should be displayed","US Stock Futures Module should be displayed",""
"unknown","Wed Feb 19 16:19:35 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1582109375218","","Business Home invoke","","Business Home invoke","Currencies Module should be displayed","Currencies Module should be displayed",""
"unknown","Wed Feb 19 16:19:35 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1582109375198","","Business Home invoke","","Business Home invoke","World Markets Module should be displayed","World Markets Module should be displayed",""
